RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
192,G0192,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,22,65~67,65,67.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
193,G0193,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,23,68~70,68,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
194,G0194,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,24,71~73,71,73.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
195,G0195,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,25,74~76,74,76.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
196,G0196,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,26,77~79,77,79.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
197,G0197,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,27,80~82,80,82.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
198,G0198,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,28,83~85,83,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
199,G0199,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,29,86~88,86,88.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
200,G0200,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,30,89~91,89,91.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
201,G0201,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,31,92~94,92,94.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
202,G0202,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,32,95~97,95,97.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
